"SIVIMID","DCA1","DCA2","Cluster","EUNIS","Class","Relevé.number","Temp","Precip","UTM10X10","UTM1X1","JuiceID","OriginalElevation","Locality","Country","ECOREG_WWF","DUNES_BOHN","Plant.Cover","Aspect","Slope","Area","SintaxonID","Sintaxon","Authors","Year","Title","Publication","EUNIS2020","Type","DEG_LON","DEG_LAT","Accuracy","Elevation"
"Q-P08750",-0.00246719149238031,0.00508478671077606,"14","V39",11,208750,90,9080,"30TUN74","",6646,1000,"Cervera de Pisuerga","ES","ATL_COAST","N_DUNES",100,"S",10,40,"742","Galio aparines-Conietum maculati","García González, M.E.","1990","Flora y vegetación de la sierra del Brezo y de la comarca de la Peña (Palencia)","Tesis Doct."," V39   ","No forest",-4.514005163,42.88954259,"3 - UTM10x10 + Elevation",1000
"Q-P08751",-0.00260972558883732,0.0103306198809244,"14","V39",11,208751,90,8353,"30TUN75","",6647,1070,"San Martín de los Herreros","ES","ATL_COAST","N_DUNES",80,"",NA,12,"742","Galio aparines-Conietum maculati","García González, M.E.","1990","Flora y vegetación de la sierra del Brezo y de la comarca de la Peña (Palencia)","Tesis Doct."," V39   ","No forest",-4.534039347,42.90728585,"3 - UTM10x10 + Elevation",1070
"Q-P08752",-0.0139049855078118,0.0142604126524383,"15","V39",11,208752,81,10644,"30TUN65","",6648,1300,"Triollo","ES","ATL_COAST","N_DUNES",90,"",NA,20,"3907","Geranio robertiani-Cariolophetum sempervirentis","García González, M.E.","1990","Flora y vegetación de la sierra del Brezo y de la comarca de la Peña (Palencia)","Tesis Doct."," V39   ","No forest",-4.67882657,42.91605961,"3 - UTM10x10 + Elevation",1300
"Q-P08754",-0.0258478228029304,0.00429070940041165,"20","V38",10,208754,84,9829,"30TUN64","",6650,1250,"Fuente Colorada","ES","ATL_COAST","N_DUNES",40,"N",5,20,"2268a,,,,,GGM3","","","","",""," V38   ","No forest",-4.666943542,42.83879034,"3 - UTM10x10 + Elevation",1250
"Q-P08755",-0.0199895897500011,0.00512351971538139,"20","V38",10,208755,80,9366,"30TUN55","",6651,1240,"Camporredondo de Alba","ES","ATL_COAST","N_DUNES",70,"",NA,70,"2268c,,,,,GGM3","","","","",""," V38   ","No forest",-4.749295633,42.89519337,"3 - UTM10x10 + Elevation",1240
"Q-P08756",-0.0281473260204338,0.00764669505971349,"20","V38",10,208756,78,10643,"30TUN64","",6652,1330,"Brañosera","ES","ATL_COAST","N_DUNES",60,"N",5,350,"2268c,,,,,GGM3","","","","",""," V38   ","No forest",-4.677118412,42.85304978,"3 - UTM10x10 + Elevation",1330
"Q-P08758",-0.0196506864482831,0.00318647392089066,"20","V38",10,208758,91,9584,"30TUN64","",6653,1130,"Traspeña de la Peña","ES","ATL_COAST","N_DUNES",80,"",NA,100,"2165d","Carduo carpetani-Onopordetum acanthii","García González, M.E.","1990","Flora y vegetación de la sierra del Brezo y de la comarca de la Peña (Palencia)","Tesis Doct."," V38   ","No forest",-4.66851798,42.80634914,"3 - UTM10x10 + Elevation",1130
"Q-P08760",-0.0214051717392841,0.00979289806149086,"20","V38",10,208760,89,9763,"30TUN74","",6654,1000,"Cervera de Pisuerga","ES","ATL_COAST","N_DUNES",80,"",NA,50,"6273","Comunidad de Cirsium richterianum","García González, M.E.","1990","Flora y vegetación de la sierra del Brezo y de la comarca de la Peña (Palencia)","Tesis Doct."," V38   ","No forest",-4.498878138,42.87173158,"3 - UTM10x10 + Elevation",1000
"Q-P08761",-0.0204179684788386,0.00759610172307268,"20","V38",10,208761,91,10518,"30TUN74","",6655,1050,"Embalse de Ruesga","ES","ATL_COAST","N_DUNES",80,"",NA,40,"6273","Comunidad de Cirsium richterianum","García González, M.E.","1990","Flora y vegetación de la sierra del Brezo y de la comarca de la Peña (Palencia)","Tesis Doct."," V38   ","No forest",-4.550416473,42.87644814,"3 - UTM10x10 + Elevation",1050
"Q-P08762",-0.0239327912003645,0.0107554880211332,"20","V38",10,208762,90,8858,"30TUN75","",6656,1070,"Ermita de San Roque","ES","ATL_COAST","N_DUNES",80,"",NA,20,"6273","Comunidad de Cirsium richterianum","García González, M.E.","1990","Flora y vegetación de la sierra del Brezo y de la comarca de la Peña (Palencia)","Tesis Doct."," V38   ","No forest",-4.543611372,42.89815216,"3 - UTM10x10 + Elevation",1070
"Q-P08763",-0.016209088101259,0.0101786062309416,"20","V38",10,208763,70,9161,"30TUN74","",6657,970,"Cervera de Pisuerga","ES","ATL_COAST","N_DUNES",60,"",NA,10,"6273","Comunidad de Cirsium richterianum","García González, M.E.","1990","Flora y vegetación de la sierra del Brezo y de la comarca de la Peña (Palencia)","Tesis Doct."," V38   ","No forest",-4.528495991,42.84729103,"4 - UTM10x10 + Centroid",970
"Q-P08764",-0.0193166603019328,-0.000123335186719475,"20","V38",10,208764,89,9449,"30TUN74","",6658,1100,"Arroyo de Candenosa","ES","ATL_COAST","N_DUNES",80,"",NA,100,"6273","Comunidad de Cirsium richterianum","García González, M.E.","1990","Flora y vegetación de la sierra del Brezo y de la comarca de la Peña (Palencia)","Tesis Doct."," V38   ","No forest",-4.527275081,42.83173387,"3 - UTM10x10 + Elevation",1100
