"EM","Name","Note","Family","Endem","Lifeform","Binomen/trinomen","Notes for (-) or (?)","Genus","Species","Infra.r","Infrasp","Authority","UICN-SP","Asturias","Cantabria","Galicia","CyL","PRO","Spain Catalogues of protected species","DH","SOLO PARA AUTORES","Diagnosis","V2","Phytosociology (Rivas-Martinez et al. 2001)","TPLName","TPLNameFull","New.Genus","New.Hybrid.marker","New.Species","New.Infraspecific.rank","New.Infraspecific","New.Authority","family","order","class","clade","group","F","K","L","N","R","T"
"+","Alchemilla glaucescens Wallr.",".","Rosaceae",".","Hemicryptophyte","Alchemilla glaucescens",".","Alchemilla","glaucescens",NA,NA,"Wallr.",".",".",".",".",".",NA,NA,NA,NA,"Native",72,"En 11. Montio fontanae-Cardaminetea amarae","Alchemilla glaucescens","Alchemilla glaucescens Wallr.","Alchemilla","","glaucescens","","","Wallr.","Rosaceae","Rosales","Magnoliopsida","Superrosids","Angiosperms",NA,NA,NA,NA,NA,NA
"+","Alchemilla hispanica S.E.Fröhner",".","Rosaceae",".","Hemicryptophyte","Alchemilla hispanica",".","Alchemilla","hispanica",NA,NA,"S.E.Fröhner",".",".",".",".",".",NA,NA,NA,NA,"Native",73,"En Merendero-Cynosuretum y Calluno-Ulicetea","Alchemilla hispanica","Alchemilla hispanica S.E.Fröhner","Alchemilla","","hispanica","","","S.E.Fröhner","Rosaceae","Rosales","Magnoliopsida","Superrosids","Angiosperms",6,5,7,4,6,5
"+","Alchemilla hoppeana (Rchb.) Dalla Torre",".","Rosaceae",".","Hemicryptophyte","Alchemilla hoppeana",".","Alchemilla","hoppeana",NA,NA,"(Rchb.) Dalla Torre",".",".",".",".",".",NA,NA,NA,NA,"Native",74,".","Alchemilla hoppeana","Alchemilla hoppeana (Rchb.) Dalla Torre","Alchemilla","","hoppeana","","","(Rchb.) Dalla Torre","Rosaceae","Rosales","Magnoliopsida","Superrosids","Angiosperms",5,5,8,3,7,4
"+","Alchemilla hoppeaniformis S.E.Fröhner",".","Rosaceae","CM+PY","Hemicryptophyte","Alchemilla hoppeaniformis",".","Alchemilla","hoppeaniformis",NA,NA,"S.E.Fröhner",".",".",".",".",".",NA,NA,NA,NA,"Native",75,"En Festucion burnatii y Thlaspietea rotundifolii","Alchemilla hoppeaniformis","Alchemilla hoppeaniformis S.E.Fröhner","Alchemilla","","hoppeaniformis","","","S.E.Fröhner","Rosaceae","Rosales","Magnoliopsida","Superrosids","Angiosperms",5,5,8,3,7,4
"+","Alchemilla hybrida (L.) L.",".","Rosaceae",".","Hemicryptophyte","Alchemilla hybrida",".","Alchemilla","hybrida",NA,NA,"(L.) L.",".",".",".",".",".",NA,NA,NA,NA,"Native",76,".","Alchemilla hybrida","Alchemilla hybrida (L.) L.","Alchemilla","","hybrida","","","(L.) L.","Rosaceae","Rosales","Magnoliopsida","Superrosids","Angiosperms",NA,NA,NA,NA,NA,NA
"+","Alchemilla impedicellata S. E. Fröhner",".","Rosaceae","CM+PY","Hemicryptophyte","Alchemilla impedicellata",".","Alchemilla","impedicellata",NA,NA,"S. E. Fröhner",".",".",".",".",".",NA,NA,NA,NA,"Native - new",77,".","Alchemilla impedicellata","Alchemilla impedicellata S.E.Fröhner","Alchemilla","","impedicellata","","","S.E.Fröhner","Rosaceae","Rosales","Magnoliopsida","Superrosids","Angiosperms",NA,NA,NA,NA,NA,NA
"+","Alchemilla inconcinna Buser",".","Rosaceae",".","Hemicryptophyte","Alchemilla inconcinna",".","Alchemilla","inconcinna",NA,NA,"Buser",".",".",".",".",".",NA,NA,NA,NA,"Native",78,"(En 11. Montio fontanae-Cardaminetea amarae, Molinietalia caeruleae y Mulgedio-Aconitetea","Alchemilla inconcinna","Alchemilla inconcinna Buser","Alchemilla","","inconcinna","","","Buser","Rosaceae","Rosales","Magnoliopsida","Superrosids","Angiosperms",NA,NA,NA,NA,NA,NA
"+","Alchemilla iniquiformis S.E.Fröhner",".","Rosaceae","CM+PY","Hemicryptophyte","Alchemilla iniquiformis",".","Alchemilla","iniquiformis",NA,NA,"S.E.Fröhner",".",".",".",".",".",NA,NA,NA,NA,"Native",79,"Prados y pastos, preferentemente a la orilla de pequeños arroyos; higrófila; en substrato calizo o silíceo; 1150-2500 m","Alchemilla iniquiformis","Alchemilla iniquiformis S.E.Fröhner","Alchemilla","","iniquiformis","","","S.E.Fröhner","Rosaceae","Rosales","Magnoliopsida","Superrosids","Angiosperms",NA,NA,NA,NA,NA,NA
"+","Alchemilla lainzii S.E.Fröhner",".","Rosaceae",".","Hemicryptophyte","Alchemilla lainzii",".","Alchemilla","lainzii",NA,NA,"S.E.Fröhner",".",".",".",".",".",NA,NA,NA,NA,"Native",80,"Fisuras y rellanos de roquedo, pastos pedregosos; en substrato silíceo; 1800-2200 m.Cordillera Cantábrica –alto Campoo y Peña Prieta","Alchemilla lainzii","Alchemilla lainzii S.E.Fröhner","Alchemilla","","lainzii","","","S.E.Fröhner","Rosaceae","Rosales","Magnoliopsida","Superrosids","Angiosperms",NA,NA,NA,NA,NA,NA
"+","Alchemilla legionensis S. E. Fröhner",".","Rosaceae","CM","Hemicryptophyte","Alchemilla legionensis",".","Alchemilla","legionensis",NA,NA,"S. E. Fröhner",".",".",".",".",".",NA,NA,NA,NA,"Native - new",81,".","Alchemilla legionensis","Alchemilla legionensis S.E.Fröhner","Alchemilla","","legionensis","","","S.E.Fröhner","Rosaceae","Rosales","Magnoliopsida","Superrosids","Angiosperms",NA,NA,NA,NA,NA,NA
"+","Alchemilla lucida Buser",".","Rosaceae",".","Hemicryptophyte","Alchemilla lucida",".","Alchemilla","lucida",NA,NA,"Buser",".",".",".",".",".",NA,NA,NA,NA,"Native",82,"Fisuras o rellanos de roquedo, pastos y cervunales; en substrato silíceo; 1300-2100 m Cordillera Cantábrica –macizo delValdecebollas","Alchemilla lucida","Alchemilla lucida Buser","Alchemilla","","lucida","","","Buser","Rosaceae","Rosales","Magnoliopsida","Superrosids","Angiosperms",NA,NA,NA,NA,NA,NA
"+","Alchemilla lunaria S.E.Fröhner",".","Rosaceae",".","Hemicryptophyte","Alchemilla lunaria",".","Alchemilla","lunaria",NA,NA,"S.E.Fröhner",".",".",".",".",".",NA,NA,NA,NA,"Native",83,"42. Mulgedio-Aconitetea","Alchemilla lunaria","Alchemilla lunaria S.E.Fröhner","Alchemilla","","lunaria","","","S.E.Fröhner","Rosaceae","Rosales","Magnoliopsida","Superrosids","Angiosperms",NA,NA,NA,NA,NA,NA
"+","Alchemilla rugulosa S.E.Fröhner",".","Rosaceae","CM","Hemicryptophyte","Alchemilla rugulosa",".","Alchemilla","rugulosa",NA,NA,"S.E.Fröhner",".",".",".",".",".",NA,NA,NA,NA,"Native",84,"Polygono-Trisetion, márgenes de arroyos","Alchemilla rugulosa","Alchemilla rugulosa S.E.Fröhner","Alchemilla","","rugulosa","","","S.E.Fröhner","Rosaceae","Rosales","Magnoliopsida","Superrosids","Angiosperms",NA,NA,NA,NA,NA,NA
"+","Alchemilla saxatilis Buser",".","Rosaceae",".","Hemicryptophyte","Alchemilla saxatilis",".","Alchemilla","saxatilis",NA,NA,"Buser",".",".",".",".",".",NA,NA,NA,NA,"Native",85,"27b. Androsacetalia vandellii","Alchemilla saxatilis","Alchemilla saxatilis Buser","Alchemilla","","saxatilis","","","Buser","Rosaceae","Rosales","Magnoliopsida","Superrosids","Angiosperms",5,6,8,3,3,4
"+","Alchemilla sierrae Romo",".","Rosaceae","CM","Hemicryptophyte","Alchemilla sierrae",".","Alchemilla","sierrae",NA,NA,"Romo",".",".",".",".",".",NA,NA,NA,"LC: En territorios orocantabricos las citas de esta planta han de referirse a A. sierrae, descrita precisamente para  diferenciarla de la verdadera.","Native",68,"45.3. Armerion cantabricae","Alchemilla sierrae","Alchemilla sierrae Romo","Alchemilla","","sierrae","","","Romo","Rosaceae","Rosales","Magnoliopsida","Superrosids","Angiosperms",6,5,7,4,5,5
"+","Alchemilla straminea Buser",".","Rosaceae",".","Hemicryptophyte","Alchemilla straminea",".","Alchemilla","straminea",NA,NA,"Buser",".",".",".",".",".",NA,NA,NA,NA,"Native",87,"En 11. Montio fontanae-Cardaminetea amarae y Mulgedio-Aconitetea","Alchemilla straminea","Alchemilla straminea Buser","Alchemilla","","straminea","","","Buser","Rosaceae","Rosales","Magnoliopsida","Superrosids","Angiosperms",NA,NA,NA,NA,NA,NA
"+","Alchemilla subalpina S.E.Fröhner",".","Rosaceae","CM","Hemicryptophyte","Alchemilla subalpina",".","Alchemilla","subalpina",NA,NA,"S.E.Fröhner",".",".",".",".",".",NA,NA,NA,NA,"Native",88,"En Festucion burnatii y Thlaspietea rotundifolii","Alchemilla subalpina","Alchemilla subalpina S.E.Fröhner","Alchemilla","","subalpina","","","S.E.Fröhner","Rosaceae","Rosales","Magnoliopsida","Superrosids","Angiosperms",6,5,7,4,5,5
"+","Alchemilla tenuis Buser",".","Rosaceae",".","Hemicryptophyte","Alchemilla tenuis",".","Alchemilla","tenuis",NA,NA,"Buser",".",".",".",".",".",NA,NA,NA,NA,"Native",89,".","Alchemilla tenuis","Alchemilla tenuis Buser","Alchemilla","","tenuis","","","Buser","Rosaceae","Rosales","Magnoliopsida","Superrosids","Angiosperms",9,5,7,4,5,5
"+","Alchemilla transiens (Buser) Buser",".","Rosaceae",".","Hemicryptophyte","Alchemilla transiens",".","Alchemilla","transiens",NA,NA,"(Buser) Buser",".",".",".",".",".",NA,NA,NA,NA,"Native",90,"27.9. Saxifragion willkommianae","Alchemilla transiens","Alchemilla transiens (Buser) Buser","Alchemilla","","transiens","","","(Buser) Buser","Rosaceae","Rosales","Magnoliopsida","Superrosids","Angiosperms",5,5,8,2,3,3
"+","Alchemilla xanthochlora Rothm.",".","Rosaceae",".","Hemicryptophyte","Alchemilla xanthochlora",".","Alchemilla","xanthochlora",NA,NA,"Rothm.",".",".",".",".",".",NA,NA,NA,NA,"Native",91,"59a. Molinietalia caeruleae","Alchemilla xanthochlora","Alchemilla xanthochlora Rothm.","Alchemilla","","xanthochlora","","","Rothm.","Rosaceae","Rosales","Magnoliopsida","Superrosids","Angiosperms",7,5,7,5,6,5
"+","Alisma lanceolatum With.",".","Alismataceae",".","Helophyte","Alisma lanceolatum",".","Alisma","lanceolatum",NA,NA,"With.",".",".",".",".",".",NA,NA,NA,NA,"Native",92,"12b. Nasturtio officinalis-Glycerietalia fluitantis","Alisma lanceolatum","Alisma lanceolatum With.","Alisma","","lanceolatum","","","With.","Alismataceae","Alismatales","Liliopsida","Monocots","Angiosperms",10,5,7,6,6,6
"+","Alisma plantago-aquatica L.",".","Alismataceae",".","Helophyte","Alisma plantago-aquatica",".","Alisma","plantago-aquatica",NA,NA,"L.",".",".",".",".",".",NA,NA,NA,NA,"Native",93,"12. Magnocarici elatae-Phragmitetea australis","Alisma plantago-aquatica","Alisma plantago-aquatica L.","Alisma","","plantago-aquatica","","","L.","Alismataceae","Alismatales","Liliopsida","Monocots","Angiosperms",10,5,7,6,6,6
"+","Alliaria petiolata (M.Bieb.) Cavara & Grande",".","Brassicaceae",".","Hemicryptophyte","Alliaria petiolata",".","Alliaria","petiolata",NA,NA,"(M.Bieb.) Cavara & Grande",".",".",".",".",".",NA,NA,NA,NA,"Native",94,"40a. Galio aparines-Alliarietalia petiolatae","Alliaria petiolata","Alliaria petiolata (M.Bieb.) Cavara & Grande","Alliaria","","petiolata","","","(M.Bieb.) Cavara & Grande","Brassicaceae","Brassicales","Magnoliopsida","Superrosids","Angiosperms",7,5,6,5,6,5
"+","Allium ericetorum Thore",".","Amaryllidaceae",".","Geophyte","Allium ericetorum",".","Allium","ericetorum",NA,NA,"Thore",".",".",".",".",".",NA,NA,NA,NA,"Native",97,"61. Calluno vulgaris-Ulicetea minoris","Allium ericetorum","Allium ericetorum Thore","Allium","","ericetorum","","","Thore","Amaryllidaceae","Asparagales","Liliopsida","Monocots","Angiosperms",6,4,7,4,5,6
"+","Allium lusitanicum Lam.",".","Amaryllidaceae",".","Geophyte","Allium lusitanicum",".","Allium","lusitanicum",NA,NA,"Lam.",".",".",".",".",".",NA,NA,NA,"LC: angulosum es el nombre de una planta de la Europa central y oriental que no llega a nuestra Península. La Euro+Med incluye ""Allium lusitanicum"" como sinónimo de angulosum, pero se refieren a un nombre ilegítimo que Redouté le dio a un ajo que se cultivaba en el Jardin des Plantes de París y que suponían venido de Portugal, pero que a juzgar por el protólogo ((https://bibdigital.rjb.csic.es/medias/0e/20/d7/6a/0e20d76a-36dc-42d5-91c0-d9c55cd490f7/files/RED_Lil_05.pdf)) ha de ser el angulosum de Linneo. Allium lusitanicum Lam. es pues el nombre que debe llevar nuestra planta.","Native",95,"52. Festuco hystricis-Ononidetea striatae","Allium lusitanicum","Allium lusitanicum Lam.","Allium","","lusitanicum","","","Lam.","Amaryllidaceae","Asparagales","Liliopsida","Monocots","Angiosperms",4,5,8,3,7,5
"+","Allium oleraceum L.",".","Amaryllidaceae",".","Geophyte","Allium oleraceum",".","Allium","oleraceum",NA,NA,"L.",".",".",".",".",".",NA,NA,NA,NA,"Native",103,"43. Trifolio medii-Geranietea sanguinei","Allium oleraceum","Allium oleraceum L.","Allium","","oleraceum","","","L.","Amaryllidaceae","Asparagales","Liliopsida","Monocots","Angiosperms",6,5,7,5,6,6
"+","Allium palentinum Losa & P.Monts.",".","Amaryllidaceae","CM","Geophyte","Allium palentinum",".","Allium","palentinum",NA,NA,"Losa & P.Monts.",".",".",".",".",".",NA,NA,NA,NA,"Native",104,"33.4. Linarion filicaulis","Allium palentinum","Allium palentinum Losa & P.Monts.","Allium","","palentinum","","","Losa & P.Monts.","Amaryllidaceae","Asparagales","Liliopsida","Monocots","Angiosperms",4,6,8,3,7,4
"+","Allium pallens L.",".","Amaryllidaceae",".","Geophyte","Allium pallens",".","Allium","pallens",NA,NA,"L.",".",".",".",".",".",NA,NA,NA,NA,"Native - new",2958,".","Allium pallens","Allium pallens L.","Allium","","pallens","","","L.","Amaryllidaceae","Asparagales","Liliopsida","Monocots","Angiosperms",NA,NA,NA,NA,NA,NA
"+","Allium paniculatum L.",".","Amaryllidaceae",".","Geophyte","Allium paniculatum",".","Allium","paniculatum",NA,NA,"L.",".",".",".",".",".",NA,NA,NA,"RA: Se puede añadir Allium pallens L. aunque la cita que conozco está en los límites de la Orocantábrica, cerca de Cistierna por el sur. LC: El que es sinónimo de Allium flavum (planta no ibérica) es el homónimo heterotípico Allium paniculatum All.","Native",98,"51b. Brachypodietalia phoenicoidis","Allium paniculatum","Allium paniculatum L.","Allium","","paniculatum","","","L.","Amaryllidaceae","Asparagales","Liliopsida","Monocots","Angiosperms",NA,NA,NA,NA,NA,NA
"+","Allium roseum L.",".","Amaryllidaceae",".","Geophyte","Allium roseum",".","Allium","roseum",NA,NA,"L.",".",".",".",".",".",NA,NA,NA,NA,"Native",105,"51b. Brachypodietalia phoenicoidis","Allium roseum","Allium roseum L.","Allium","","roseum","","","L.","Amaryllidaceae","Asparagales","Liliopsida","Monocots","Angiosperms",5,5,7,4,7,7
"+","Allium schoenoprasum L.",".","Amaryllidaceae",".","Geophyte","Allium schoenoprasum",".","Allium","schoenoprasum",NA,NA,"L.",".",".",".",".",".",NA,NA,NA,NA,"Native",106,"59.13. Agrostion stoloniferae","Allium schoenoprasum","Allium schoenoprasum L.","Allium","","schoenoprasum","","","L.","Amaryllidaceae","Asparagales","Liliopsida","Monocots","Angiosperms",8,5,8,3,6,4
"+","Allium scorzonerifolium Desf. ex DC.",".","Amaryllidaceae",".","Geophyte","Allium scorzonerifolium",".","Allium","scorzonerifolium",NA,NA,"Desf. ex DC.",".",".",".",".",".",NA,NA,NA,"LC: Supongo que las citas se refieren en realidad a stRamineum y no a stamineum (son los nombres de dos especies diferentes, aunque no sé yo si el artícuolo 53 del ICN tendrá algo que decir al respecto). A. stamineum es una planta de Oriente Próximo, y stramineum un sinónimo de A. scorzonerifolium.","Native",107,"En Querco-Fagetea, Alnion incanae y Molinio-Arrhenatheretea","Allium scorzonerifolium","Allium scorzonerifolium Desf. ex DC.","Allium","","scorzonerifolium","","","Desf. ex DC.","Amaryllidaceae","Asparagales","Liliopsida","Monocots","Angiosperms",7,4,6,5,5,5
"+","Allium sphaerocephalon L.",".","Amaryllidaceae",".","Geophyte","Allium sphaerocephalon",".","Allium","sphaerocephalon",NA,NA,"L.",".",".",".",".",".",NA,NA,NA,NA,"Native",108,"En 51. Festuco valesiacae-Brometea erecti y Genistion occidentalis","Allium sphaerocephalon",NA,"Allium","","sphaerocephalon","","","L.","Amaryllidaceae","Asparagales","Liliopsida","Monocots","Angiosperms",5,5,7,4,7,6
"+","Allium triquetrum L.",".","Amaryllidaceae",".","Geophyte","Allium triquetrum",".","Allium","triquetrum",NA,NA,"L.",".",".",".",".",".",NA,NA,NA,"LC: Debe de tocar muy marginalmente la subprovincia, si es que la toca, y en todo caso dudo mucho de que sea autóctono.","Native",110,"40.2b.Smyrnienion olusatri","Allium triquetrum","Allium triquetrum L.","Allium","","triquetrum","","","L.","Amaryllidaceae","Asparagales","Liliopsida","Monocots","Angiosperms",NA,NA,NA,NA,NA,NA
"+","Allium ursinum L.",".","Amaryllidaceae",".","Geophyte","Allium ursinum",".","Allium","ursinum",NA,NA,"L.",".",".",".",".",".",NA,NA,NA,NA,"Native",111,"76a. Fagetalia sylvaticae","Allium ursinum","Allium ursinum L.","Allium","","ursinum","","","L.","Amaryllidaceae","Asparagales","Liliopsida","Monocots","Angiosperms",7,4,5,5,6,5
"+","Allium victorialis L.",".","Amaryllidaceae",".","Geophyte","Allium victorialis",".","Allium","victorialis",NA,NA,"L.",".",".",".",".",".",NA,NA,NA,NA,"Native",112,"42a. Adenostyletalia alliariae:","Allium victorialis","Allium victorialis L.","Allium","","victorialis","","","L.","Amaryllidaceae","Asparagales","Liliopsida","Monocots","Angiosperms",7,4,5,5,5,5
"+","Allium vineale L.",".","Amaryllidaceae",".","Geophyte","Allium vineale",".","Allium","vineale",NA,NA,"L.",".",".",".",".",".",NA,NA,NA,NA,"Native",113,"51. Festuco valesiacae-Brometea erecti","Allium vineale","Allium vineale L.","Allium","","vineale","","","L.","Amaryllidaceae","Asparagales","Liliopsida","Monocots","Angiosperms",6,5,7,6,6,6
"+","Alnus glutinosa (L.) Gaertn.",".","Betulaceae",".","Phanerophyte","Alnus glutinosa",".","Alnus","glutinosa",NA,NA,"(L.) Gaertn.",".",".",".",".",".",NA,NA,NA,"LC: Aquí habría que abrir el melón de la Alnus lusitanica… EC: De acuerdo. BJA: Por lo que he prospectado entre los autores, no hay consenso en reconocer A. lusitanica, al menos de momento. La incluiremos en el texto principal junto a otras especies recientemente citadas que necesitan validarse","Native",118,"71. Salici purpureae-Populetea nigrae","Alnus glutinosa","Alnus glutinosa (L.) Gaertn.","Alnus","","glutinosa","","","(L.) Gaertn.","Betulaceae","Fagales","Magnoliopsida","Superrosids","Angiosperms",8,4,6,5,5,6
"+","Alopecurus aequalis Sobol.",".","Poaceae",".","Hemicryptophyte","Alopecurus aequalis",".","Alopecurus","aequalis",NA,NA,"Sobol.",".",".",".",".",".",NA,NA,NA,NA,"Native",119,"8.1. Bidention tripartitae","Alopecurus aequalis","Alopecurus aequalis Sobol.","Alopecurus","","aequalis","","","Sobol.","Poaceae","Poales","Liliopsida","Monocots","Angiosperms",10,5,7,6,6,5
"+","Alopecurus arundinaceus Poir.",".","Poaceae",".","Hemicryptophyte","Alopecurus arundinaceus",".","Alopecurus","arundinaceus",NA,NA,"Poir.",".",".",".",".",".",NA,NA,NA,NA,"Native",120,"59c. Holoschoenetalia vulgaris","Alopecurus arundinaceus","Alopecurus arundinaceus Poir.","Alopecurus","","arundinaceus","","","Poir.","Poaceae","Poales","Liliopsida","Monocots","Angiosperms",8,5,7,5,6,5
"+","Alopecurus geniculatus L.",".","Poaceae",".","Hemicryptophyte","Alopecurus geniculatus",".","Alopecurus","geniculatus",NA,NA,"L.",".",".",".",".",".",NA,NA,NA,NA,"Native",121,"59.13. Agrostion stoloniferae","Alopecurus geniculatus","Alopecurus geniculatus L.","Alopecurus","","geniculatus","","","L.","Poaceae","Poales","Liliopsida","Monocots","Angiosperms",NA,NA,NA,NA,NA,NA
"+","Alopecurus gerardii (All.) Vill.",".","Poaceae",".","Hemicryptophyte","Alopecurus gerardii",".","Alopecurus","gerardii",NA,NA,"(All.) Vill.",".",".",".",".",".",NA,NA,NA,NA,"Native",122,".","Alopecurus gerardii","Alopecurus gerardii (All.) Vill.","Alopecurus","","gerardii","","","(All.) Vill.","Poaceae","Poales","Liliopsida","Monocots","Angiosperms",NA,NA,NA,NA,NA,NA
"+","Alopecurus myosuroides Huds.",".","Poaceae",".","Therophyte","Alopecurus myosuroides",".","Alopecurus","myosuroides",NA,NA,"Huds.",".",".",".",".",".",NA,NA,NA,NA,"Native",123,"39A. Stellarienea mediae","Alopecurus myosuroides","Alopecurus myosuroides Huds.","Alopecurus","","myosuroides","","","Huds.","Poaceae","Poales","Liliopsida","Monocots","Angiosperms",5,5,7,6,6,7
"+","Alopecurus pratensis L.","?","Poaceae",".","Hemicryptophyte","Alopecurus pratensis","It's still uncertain (albeit plausible, cf. Flora iberica), whether the type subspecies enters the study area or remains restricted to the coastal lowlands","Alopecurus","pratensis",NA,NA,"L.",".",".",".",".",".",NA,NA,NA,"LC: el verdadero pratensis sería, según el borrador de Flora iberica, muy raro y solo conocido de una zona baja de Asturias que seguramente quede fuera de la subprovincia fitogeográfica que nos ocupa. Cuando revisé ese borrador me interesé por el asunto y pregunté por la base de ese datos, pero todavía no he sabido nada más. Voy a preguntar otra vez... BJA: por el momento queda como ""no descartable""","Native",124,"59. Molinio caerulaeae-Arrhenatheretea elatioris","Alopecurus pratensis","Alopecurus pratensis L.","Alopecurus","","pratensis","","","L.","Poaceae","Poales","Liliopsida","Monocots","Angiosperms",6,5,7,5,6,5
