Accepted.SIVIM,Original.EuroMed,Accepted.EuroMed,Expert.Revision,Analysis.Names,Rank,Genus,Family,Order,Class,Group,Native
Alchemilla hoppeaniformis,Alchemilla hoppeaniformis,Alchemilla hoppeaniformis,Alchemilla hoppeaniformis,Alchemilla hoppeaniformis,sp.,Alchemilla,Rosaceae,Rosales,Magnoliopsida,tracheophytes,Yes
Alchemilla inconcinna,Alchemilla inconcinna,Alchemilla inconcinna,Alchemilla inconcinna,Alchemilla inconcinna,sp.,Alchemilla,Rosaceae,Rosales,Magnoliopsida,tracheophytes,Yes
Alchemilla plicatula subsp. sterophylla,Alchemilla plicatula,Alchemilla plicatula,Alchemilla plicatula,Alchemilla plicatula,sp.,Alchemilla,Rosaceae,Rosales,Magnoliopsida,tracheophytes,No
Alchemilla rugulosa,Alchemilla rugulosa,Alchemilla rugulosa,Alchemilla rugulosa,Alchemilla rugulosa,sp.,Alchemilla,Rosaceae,Rosales,Magnoliopsida,tracheophytes,Yes
Alchemilla saxatilis,Alchemilla saxatilis,Alchemilla saxatilis,Alchemilla saxatilis,Alchemilla saxatilis,sp.,Alchemilla,Rosaceae,Rosales,Magnoliopsida,tracheophytes,Yes
Alchemilla alpina,Alchemilla alpina subsp. saxatilis,Alchemilla saxatilis,Alchemilla saxatilis,Alchemilla saxatilis,sp.,Alchemilla,Rosaceae,Rosales,Magnoliopsida,tracheophytes,Yes
Alchemilla sierrae,Alchemilla sierrae,Alchemilla sierrae,Alchemilla sierrae,Alchemilla sierrae,sp.,Alchemilla,Rosaceae,Rosales,Magnoliopsida,tracheophytes,Yes
Alchemilla straminea,Alchemilla straminea,Alchemilla straminea,Alchemilla straminea,Alchemilla straminea,sp.,Alchemilla,Rosaceae,Rosales,Magnoliopsida,tracheophytes,Yes
Alchemilla subalpina,Alchemilla subalpina,Alchemilla subalpina,Alchemilla subalpina,Alchemilla subalpina,sp.,Alchemilla,Rosaceae,Rosales,Magnoliopsida,tracheophytes,Yes
Alchemilla transiens,Alchemilla alpina subsp. transiens,Alchemilla transiens,Alchemilla transiens,Alchemilla transiens,sp.,Alchemilla,Rosaceae,Rosales,Magnoliopsida,tracheophytes,Yes
Alchemilla vetteri,Alchemilla vetteri,Alchemilla vetteri,Alchemilla vetteri,Alchemilla vetteri,sp.,Alchemilla,Rosaceae,Rosales,Magnoliopsida,tracheophytes,Yes
Alchemilla xanthochlora,Alchemilla xanthochlora,Alchemilla xanthochlora,Alchemilla xanthochlora,Alchemilla xanthochlora,sp.,Alchemilla,Rosaceae,Rosales,Magnoliopsida,tracheophytes,Yes
