TaxonConcept,AccordingTo,TaxonRank,Hybrid,EIVE1-M,EIVE1-M.nw3,EIVE1-M.n,EIVE1-N,EIVE1-N.nw3,EIVE1-N.n,EIVE1-R,EIVE1-R.nw3,EIVE1-R.n,EIVE1-L,EIVE1-L.nw3,EIVE1-L.n,EIVE1-T,EIVE1-T.nw3,EIVE1-T.n
Rubus ferox,Euro+Med,Species,,"5,6","1,9",1,"5,0","2,0",1,"5,4","1,8",1,"5,4","1,8",1,"5,0","2,1",1
Rubus fioniae,Euro+Med,Species,,"4,3","2,3",1,"6,5","1,9",1,"7,0","1,9",1,"8,2","2,1",1,"3,6","2,3",1
Rubus firmus,Euro+Med,Species,,"4,3","2,3",1,"5,4","1,9",1,"5,9","1,9",1,"8,2","2,1",1,"3,6","2,3",1
Rubus flaccidifolius,addition,,,"4,9","2,5",1,"7,1","1,8",1,"6,3","1,7",1,"4,8","1,6",1,,,
Rubus flaccidus,Euro+Med,Species,,"4,6","2,6",2,"5,2","2,4",2,"7,3","2,3",2,"7,9","2,3",2,"5,2","3,4",2
Rubus flexuosus,Euro+Med,Species,,"4,6","2,6",2,"3,5","3,4",2,"2,8","2,6",2,"6,2","3,1",2,"4,3","3,5",2
Rubus foliosus,Euro+Med,Species,,"4,2","2,5",3,"3,8","3,3",3,"2,6","2,5",3,"6,4","3,0",3,"4,1","3,4",3
Rubus franconicus,Euro+Med,Species,,"4,3","2,3",2,"5,4","2,0",2,"5,9","2,0",2,"8,2","2,1",2,"3,7","2,4",2
Rubus frisicus,Euro+Med,Species,,"4,3","2,3",1,"5,4","1,9",1,"4,7","1,9",1,"8,2","2,1",1,"3,6","2,3",1
Rubus fuscus,Euro+Med,Species,,"4,1","2,9",3,"5,4","2,0",2,"4,5","4,0",3,"8,2","2,1",2,"3,2","3,4",3
Rubus galeatus,Euro+Med,Species,,"4,3","2,3",1,"5,4","1,9",1,"4,7","1,9",1,"8,2","2,1",1,"3,6","2,3",1
