Percentage synoptic table with fidelity {Phi coeff. C } (29 columns)
;;;34;56;56;127;47;43;10;14;100;5;59;34;69;41;12;80;188;34;24;206;16;71;169;39;228;30;145;144;427
Coronilla scorpioides; 0;   ;  ---;  ---;  ---;  ---;  ---;  ---;    30.4;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;     0.3;
Senecio gallicus; 0;   ;  ---;  ---;     0.7;  ---;  ---;     1.5;    30.2;     9.3;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;     7.7;  ---;  ---;  ---;  ---;
Camelina microcarpa; 0;   ;  ---;  ---;  ---;  ---;  ---;  ---;    30.1;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;     0.2;  ---;  ---;  ---;  ---;
Malva neglecta; 0;   ;  ---;  ---;     4.8;  ---;  ---;  ---;  ---;    69.4;     0.8;  ---;  ---;  ---;  ---;     6.1;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;     1.0;  ---;
Urtica urens; 0;   ;  ---;  ---;  ---;  ---;  ---;  ---;  ---;    67.4;  ---;  ---;  ---;  ---;  ---;     7.4;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;
Amaranthus deflexus; 0;   ;  ---;  ---;  ---;  ---;  ---;  ---;  ---;    44.1;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;     0.9;  ---;     2.3;     1.6;  ---;  ---;  ---;     0.0;     1.2;  ---;
Atriplex rosea; 0;   ;  ---;  ---;  ---;  ---;  ---;  ---;  ---;    37.2;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;
Chenopodiastrum murale; 0;   ;  ---;  ---;     2.7;  ---;  ---;  ---;  ---;    32.2;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;     0.8;  ---;  ---;  ---;  ---;  ---;  ---;     0.1;     0.1;  ---;
Cirsium eriophorum; 0;   ;  ---;  ---;  ---;  ---;  ---;    15.1;  ---;  ---;    67.8;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;
Carduus nutans aggr.; 0;   ;  ---;  ---;  ---;  ---;  ---;    17.2;  ---;  ---;    52.8;  ---;  ---;  ---;  ---;  ---;  ---;  ---;     2.3;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;
Cirsium richterianum; 0;   ;  ---;  ---;  ---;  ---;  ---;     5.0;  ---;  ---;    46.6;  ---;  ---;  ---;  ---;  ---;  ---;  ---;     6.1;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;
Achillea millefolium; 0;   ;    15.3;  ---;     9.0;     2.1;  ---;    11.2;  ---;  ---;    35.0;  ---;  ---;  ---;     5.3;  ---;  ---;  ---;     2.2;  ---;  ---;  ---;  ---;  ---;  ---;  ---;     2.1;  ---;  ---;  ---;  ---;
Poa compressa; 0;   ;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;    99.8;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;
Elytrigia repens; 0;   ;  ---;  ---;  ---;     3.0;  ---;  ---;  ---;  ---;  ---;    93.2;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;
Sisymbrella aspera; 0;   ;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;    76.6;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;
Valerianella locusta; 0;   ;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;    75.4;  ---;  ---;  ---;  ---;  ---;  ---;  ---;     2.1;  ---;     8.7;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;
Herniaria glabra; 0;   ;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;    72.4;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;     3.5;  ---;  ---;  ---;  ---;  ---;
Carex hirta; 0;   ;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;    71.6;  ---;     4.4;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;  ---;
