"","SIVIMID","Sintaxon","Alliance","Class","EUNIS","Area","Year","Longitude","Latitude","Accuracy","Elevation","Aspect","Slope","L1"
"96","T-P02592","Bromo-Hordeetum murini","Sisymbrion officinalis","Sisymbrietea","V37",3,1984,-6.168679445,42.49469735,"4 - UTM10x10 + Centroid",900,"E",4.5,"Sisymbrion officinalis"
"97","T-P02595","Bromo-Hordeetum murini","Sisymbrion officinalis","Sisymbrietea","V37",3,1984,-6.168679445,42.49469735,"4 - UTM10x10 + Centroid",900,"",NA,"Sisymbrion officinalis"
"98","T-P02602","Galio aparines-Conietum maculati","Balloto-Conion maculati","Epilobietea angustifolii","V38",10,1984,-6.211862764,42.47449169,"3 - UTM10x10 + Elevation",1000,"SE",45,"Balloto-Conion maculati"
"99","T-P02609","Carduo carpetani-Onopordetum acanthii","Carduo carpetani-Cirsion odontolepidis","Artemisietea vulgaris","V38",10,1984,-6.168679445,42.49469735,"4 - UTM10x10 + Centroid",880,"W",27,"Sisymbrion officinalis"
"100","T-P04818","Cirsio chodati-Carduetum cantabrici","Cirsion richterano-chodati","Artemisietea vulgaris","R21",10,1984,-4.76775473,43.19746828,"3 - UTM10x10 + Elevation",1400,"",NA,"Sisymbrion officinalis"
"101","T-P04820","Cirsio chodati-Carduetum cantabrici","Cirsion richterano-chodati","Artemisietea vulgaris","V39",10,1984,-4.761746306,43.15974196,"3 - UTM10x10 + Elevation",1550,"",NA,"Sisymbrion officinalis"
"102","T-P05963","Chelidonio maji-Smyrnietum olusatri","Allion triquetri","Chenopodietea","V32",15,1997,-7.454478929,41.95207655,"3 - UTM10x10 + Elevation",500,"",0,"Sisymbrion officinalis"
"103","T-P06544","Geranietum robertiano-lucidi","Geo urbani-Alliarion officinalis","Epilobietea angustifolii","V39",2,1995,-2.137259703,42.77743413,"2 - UTM1x1 + Centroid",560,"",NA,"Sisymbrion officinalis"
"104","T-P06560","Galio aparines-Anthriscetum sylvestris","Aegopodion podagrariae","Epilobietea angustifolii","V39",50,1995,-1.864766898,42.8380937,"1 - UTM1x1 + Elevation",790,"",NA,"Balloto-Conion maculati"
"105","T-P06563","Galio aparines-Anthriscetum sylvestris","Aegopodion podagrariae","Epilobietea angustifolii","V",30,1995,-2.381017305,42.85105387,"2 - UTM1x1 + Centroid",570,"",NA,"Balloto-Conion maculati"
"106","T-P06587","Urtico dioicae-Sambucetum ebuli","Balloto-Conion maculati","Epilobietea angustifolii","V",40,1995,-1.917188316,42.77916673,"1 - UTM1x1 + Elevation",590,"",NA,"Balloto-Conion maculati"
"107","T-P06612","Urtico dioicae-Sambucetum ebuli","Balloto-Conion maculati","Epilobietea angustifolii","V39",20,1995,-2.758844096,42.63093277,"4 - UTM10x10 + Centroid",410,"",NA,"Balloto-Conion maculati"
"108","T-P06613","Urtico dioicae-Sambucetum ebuli","Balloto-Conion maculati","Epilobietea angustifolii","V39",15,1995,-2.692878036,42.64529005,"4 - UTM10x10 + Centroid",560,"",NA,"Balloto-Conion maculati"
"109","T-P06614","Urtico dioicae-Sambucetum ebuli","Balloto-Conion maculati","Epilobietea angustifolii","V39",8,1995,-2.768570459,42.6454025,"4 - UTM10x10 + Centroid",510,"",NA,"Balloto-Conion maculati"
"110","T-P06615","Urtico dioicae-Sambucetum ebuli","Balloto-Conion maculati","Epilobietea angustifolii","V39",10,1995,-2.682476138,42.78559459,"4 - UTM10x10 + Centroid",530,"",NA,"Balloto-Conion maculati"
"111","T-P06616","Urtico dioicae-Sambucetum ebuli","Balloto-Conion maculati","Epilobietea angustifolii","V38",20,1995,-2.724059494,42.77314126,"2 - UTM1x1 + Centroid",610,"",NA,"Balloto-Conion maculati"
"112","T-P06617","Urtico dioicae-Sambucetum ebuli","Balloto-Conion maculati","Epilobietea angustifolii","V38",10,1995,-1.944384538,42.75963173,"2 - UTM1x1 + Centroid",470,"",NA,"Balloto-Conion maculati"
"113","T-P06618","Urtico dioicae-Sambucetum ebuli","Balloto-Conion maculati","Epilobietea angustifolii","V39",20,1995,-2.315024559,42.6201384,"3 - UTM10x10 + Elevation",750,"",NA,"Balloto-Conion maculati"
"114","T-P06619","Urtico dioicae-Sambucetum ebuli","Balloto-Conion maculati","Epilobietea angustifolii","R55",10,1995,-2.448162537,42.73252609,"1 - UTM1x1 + Elevation",640,"",NA,"Balloto-Conion maculati"
