"","SIVIMID","Sintaxon","Alliance","Class","EUNIS","Area","Year","Longitude","Latitude","Accuracy","Elevation","Aspect","Slope","L1"
"62","S-P12119","Galactito tomentosae-Digitaletum purpureae","Arction lappae","Epilobietea angustifolii","V38",20,1975,-6.663215521,43.5684033,"3 - UTM10x10 + Elevation",5,"SE",15,"Balloto-Conion maculati"
"63","S-P12120","Galactito tomentosae-Digitaletum purpureae","Arction lappae","Epilobietea angustifolii","V38",15,1975,-6.145593991,43.56762876,"3 - UTM10x10 + Elevation",10,"N",15,"Balloto-Conion maculati"
"64","S-P12121","Galactito tomentosae-Digitaletum purpureae","Arction lappae","Epilobietea angustifolii","V38",15,1975,-6.034755943,43.57963101,"3 - UTM10x10 + Elevation",10,"",NA,"Balloto-Conion maculati"
"65","S-P15131","Urtico dioicae-Sambucetum ebuli","Balloto-Conion maculati","Epilobietea angustifolii","V",20,1967,-2.29159175,43.17831819,"1 - UTM1x1 + Elevation",100,"",NA,"Balloto-Conion maculati"
"66","S-P15133","Urtico dioicae-Sambucetum ebuli","Balloto-Conion maculati","Epilobietea angustifolii","R",20,1967,-2.25087686,43.28791586,"1 - UTM1x1 + Elevation",25,"",5,"Balloto-Conion maculati"
"67","S-P15135","Urtico dioicae-Sambucetum ebuli","Balloto-Conion maculati","Epilobietea angustifolii","R57",50,1967,-1.965249735,43.26767938,"1 - UTM1x1 + Elevation",20,"",20,"Balloto-Conion maculati"
"68","S-P15136","Urtico dioicae-Sambucetum ebuli","Balloto-Conion maculati","Epilobietea angustifolii","R57",100,1967,-2.073035698,43.14794089,"1 - UTM1x1 + Elevation",100,"",NA,"Balloto-Conion maculati"
"69","S-P15137","Urtico dioicae-Sambucetum ebuli","Balloto-Conion maculati","Epilobietea angustifolii","?",20,1967,-2.417635987,43.12139835,"1 - UTM1x1 + Elevation",150,"",15,"Balloto-Conion maculati"
"70","S-P15138","Urtico dioicae-Sambucetum ebuli","Balloto-Conion maculati","Epilobietea angustifolii","R",20,1967,-1.66010672,43.13484527,"1 - UTM1x1 + Elevation",190,"",NA,"Balloto-Conion maculati"
"71","S-P15139","Urtico dioicae-Sambucetum ebuli","Balloto-Conion maculati","Epilobietea angustifolii","R57",20,1967,-1.843525255,43.3187396,"1 - UTM1x1 + Elevation",120,"",NA,"Balloto-Conion maculati"
"72","S-P15140","Urtico dioicae-Sambucetum ebuli","Balloto-Conion maculati","Epilobietea angustifolii","R57",20,1967,-1.603399487,43.14137081,"2 - UTM1x1 + Centroid",120,"",NA,"Balloto-Conion maculati"
"73","S-P15141","Urtico dioicae-Sambucetum ebuli","Balloto-Conion maculati","Epilobietea angustifolii","?",50,1967,-2.254396908,43.20149416,"2 - UTM1x1 + Centroid",50,"",20,"Balloto-Conion maculati"
"74","S-P15142","Urtico dioicae-Sambucetum ebuli","Balloto-Conion maculati","Epilobietea angustifolii","R",50,1967,-1.979371956,43.30742628,"1 - UTM1x1 + Elevation",20,"",NA,"Balloto-Conion maculati"
"75","S-P15143","Urtico dioicae-Sambucetum ebuli","Balloto-Conion maculati","Epilobietea angustifolii","R55",200,1967,-1.78376686,43.34693392,"1 - UTM1x1 + Elevation",15,"",5,"Balloto-Conion maculati"
"76","S-P15144","Urtico dioicae-Sambucetum ebuli","Balloto-Conion maculati","Epilobietea angustifolii","R",50,1967,-1.734874045,43.32479284,"1 - UTM1x1 + Elevation",8,"",25,"Balloto-Conion maculati"
