"","SIVIMID","Original","CANTEUNIS","Area","Year","Longitude","Latitude","Accuracy","Elevation","Alliance","Order","Class","L1"
"86","R-P24657","Geranio robertiani-Caryolophetum sempervirentis","V39Y",10,2012,-6.677199256,42.32002271,"1 - UTM1x1 + Elevation",1050,"Geo urbani-Alliarion officinalis","Galio-Alliarietalia","Epilobietea angustifolii","Geo urbani-Alliarion officinalis"
"87","R-P24658","Geranio robertiani-Caryolophetum sempervirentis","V39Y",3,2012,-6.543966388,42.28100147,"1 - UTM1x1 + Elevation",866,"Geo urbani-Alliarion officinalis","Galio-Alliarietalia","Epilobietea angustifolii","Geo urbani-Alliarion officinalis"
"88","R-P24659","Geranio robertiani-Caryolophetum sempervirentis","V39Y",10,2012,-6.794126269,42.40805166,"2 - UTM1x1 + Centroid",730,"Geo urbani-Alliarion officinalis","Galio-Alliarietalia","Epilobietea angustifolii","Geo urbani-Alliarion officinalis"
"89","R-P24660","Geranio robertiani-Caryolophetum sempervirentis","V39Y",6,2012,-6.787392057,42.41727889,"1 - UTM1x1 + Elevation",403,"Geo urbani-Alliarion officinalis","Galio-Alliarietalia","Epilobietea angustifolii","Geo urbani-Alliarion officinalis"
"90","R-P24661","Geranio robertiani-Caryolophetum sempervirentis","V39Y",10,2012,-6.789817624,42.41719861,"1 - UTM1x1 + Elevation",397,"Geo urbani-Alliarion officinalis","Galio-Alliarietalia","Epilobietea angustifolii","Geo urbani-Alliarion officinalis"
"91","R-P24662","Geranio robertiani-Caryolophetum sempervirentis","V39Y",30,2012,-6.69268168,42.41857237,"1 - UTM1x1 + Elevation",474,"Geo urbani-Alliarion officinalis","Galio-Alliarietalia","Epilobietea angustifolii","Geo urbani-Alliarion officinalis"
"92","R-P24663","Geranio robertiani-Caryolophetum sempervirentis","V39Y",8,2012,-6.727176107,42.42645875,"1 - UTM1x1 + Elevation",435,"Geo urbani-Alliarion officinalis","Galio-Alliarietalia","Epilobietea angustifolii","Geo urbani-Alliarion officinalis"
"93","R-P24664","Geranio robertiani-Caryolophetum sempervirentis","V39Y",3,2012,-6.628567767,42.40261375,"1 - UTM1x1 + Elevation",906,"Geo urbani-Alliarion officinalis","Galio-Alliarietalia","Epilobietea angustifolii","Geo urbani-Alliarion officinalis"
"94","R-P24665","Geranio robertiani-Caryolophetum sempervirentis","V39Y",3,2012,-6.727896352,42.39762161,"1 - UTM1x1 + Elevation",951,"Geo urbani-Alliarion officinalis","Galio-Alliarietalia","Epilobietea angustifolii","Geo urbani-Alliarion officinalis"
"95","R-P24666","Geranio robertiani-Caryolophetum sempervirentis","V39Y",7,2012,-6.7084962,42.39825169,"1 - UTM1x1 + Elevation",797,"Geo urbani-Alliarion officinalis","Galio-Alliarietalia","Epilobietea angustifolii","Geo urbani-Alliarion officinalis"
"96","R-P24667","Geranio robertiani-Caryolophetum sempervirentis","V39Y",10,2012,-6.669707884,42.35808151,"1 - UTM1x1 + Elevation",845,"Geo urbani-Alliarion officinalis","Galio-Alliarietalia","Epilobietea angustifolii","Geo urbani-Alliarion officinalis"
"97","R-P24668","Geranio robertiani-Caryolophetum sempervirentis","V39Z",5,2012,-6.516097979,42.34669323,"1 - UTM1x1 + Elevation",1200,"Geo urbani-Alliarion officinalis","Galio-Alliarietalia","Epilobietea angustifolii","Aegopodion podagrariae"
"98","R-P24669","Geranio robertiani-Caryolophetum sempervirentis","V39Y",10,2012,-6.703963652,42.40380101,"1 - UTM1x1 + Elevation",791,"Geo urbani-Alliarion officinalis","Galio-Alliarietalia","Epilobietea angustifolii","Aegopodion podagrariae"
"99","R-P24671","Galio aparines-Conietum maculati","V39Y",3,2012,-6.54860636,42.27725598,"1 - UTM1x1 + Elevation",889,"Balloto-Conion maculati","Arctio lappae-Artemisietalia","Epilobietea angustifolii","Aegopodion podagrariae"
"100","R-P24672","Galio aparines-Conietum maculati",NA,20,2012,-6.628567767,42.40261375,"1 - UTM1x1 + Elevation",890,"Balloto-Conion maculati","Arctio lappae-Artemisietalia","Epilobietea angustifolii","Balloto-Conion maculati"
"101","R-P24673","Galio aparines-Conietum maculati","V39Y",15,2012,-6.806796313,42.41663522,"1 - UTM1x1 + Elevation",375,"Balloto-Conion maculati","Arctio lappae-Artemisietalia","Epilobietea angustifolii","Balloto-Conion maculati"
"102","R-P24674","Galio aparines-Conietum maculati","V37Z",5,2012,-6.736346023,42.41715555,"1 - UTM1x1 + Elevation",674,"Balloto-Conion maculati","Arctio lappae-Artemisietalia","Epilobietea angustifolii","Balloto-Conion maculati"
"103","R-P24675","Galio aparines-Conietum maculati","V39Y",6,2012,-6.704069534,42.40559845,"1 - UTM1x1 + Elevation",700,"Balloto-Conion maculati","Arctio lappae-Artemisietalia","Epilobietea angustifolii","Balloto-Conion maculati"
"104","R-P24676","Galio aparines-Conietum maculati","V39X",8,2012,-6.814727332,42.42717622,"1 - UTM1x1 + Elevation",366,"Balloto-Conion maculati","Arctio lappae-Artemisietalia","Epilobietea angustifolii","Balloto-Conion maculati"
"105","R-P24677","Urtico dioicae-Sambucetum ebuli","V39X",20,2012,-6.628592361,42.27655082,"1 - UTM1x1 + Elevation",1190,"Balloto-Conion maculati","Arctio lappae-Artemisietalia","Epilobietea angustifolii","NA"
"106","R-P28995","Chenopodio boni-henrici-Senecionetum nebrodensis","V39W",4,2014,-3.681499287,43.1352586,"1 - UTM1x1 + Elevation",1420,"Arction lappae","Arctio lappae-Artemisietalia","Epilobietea angustifolii","Arction lappae"
"107","R-P29001","Galio aparines-Anthriscetum sylvestris","V39Y",100,2014,-3.553063157,43.07291722,"1 - UTM1x1 + Elevation",770,"Aegopodion podagrariae","Circaeo lutetianae-Stachyetalia sylvaticae","Epilobietea angustifolii","NA"
"108","R-P29002","Galio aparines-Anthriscetum sylvestris","V39Z",60,2014,-3.570626544,43.11245261,"2 - UTM1x1 + Centroid",760,"Aegopodion podagrariae","Circaeo lutetianae-Stachyetalia sylvaticae","Epilobietea angustifolii","Aegopodion podagrariae"
"109","R-P29004","Galio aparines-Conietum maculati","V39X",80,2014,-3.4600105,43.11295076,"2 - UTM1x1 + Centroid",750,"Balloto-Conion maculati","Arctio lappae-Artemisietalia","Epilobietea angustifolii","Balloto-Conion maculati"
