"","SIVIMID","Original","CANTEUNIS","Area","Year","Longitude","Latitude","Accuracy","Elevation","Alliance","Order","Class","L1"
"77","R-P27074","Coleostepho myconis-Galactitetum tomentosae","V332",5,1985,-6.949739134,43.54130303,"4 - UTM10x10 + Centroid",47,"Echio-Galactition tomentosae","Brometalia rubenti-tectorum","Chenopodietea","Echio-Galactition tomentosae"
"78","R-P27075","Coleostepho myconis-Galactitetum tomentosae","V332",8,1985,-8.645063554,42.42890235,"3 - UTM10x10 + Elevation",5,"Echio-Galactition tomentosae","Brometalia rubenti-tectorum","Chenopodietea","Echio-Galactition tomentosae"
"79","R-P27076","Coleostepho myconis-Galactitetum tomentosae","V332",8,1985,-8.68617551,42.39985767,"3 - UTM10x10 + Elevation",5,"Echio-Galactition tomentosae","Brometalia rubenti-tectorum","Chenopodietea","Echio-Galactition tomentosae"
"80","R-P27078","Coleostepho myconis-Galactitetum tomentosae","V332",30,1985,-8.543430035,42.81737201,"3 - UTM10x10 + Elevation",220,"Echio-Galactition tomentosae","Brometalia rubenti-tectorum","Chenopodietea","Echio-Galactition tomentosae"
"81","R-P27079","Coleostepho myconis-Galactitetum tomentosae","V332",8,1985,-7.616743442,43.66705507,"3 - UTM10x10 + Elevation",40,"Echio-Galactition tomentosae","Brometalia rubenti-tectorum","Chenopodietea","Echio-Galactition tomentosae"
"82","R-P27080","Coleostepho myconis-Galactitetum tomentosae","V332",20,1985,-8.084451059,43.65436324,"3 - UTM10x10 + Elevation",5,"Echio-Galactition tomentosae","Brometalia rubenti-tectorum","Chenopodietea","Echio-Galactition tomentosae"
"83","R-P27081","Coleostepho myconis-Galactitetum tomentosae","V332",12,1985,-8.788432989,42.25734148,"4 - UTM10x10 + Centroid",35,"Echio-Galactition tomentosae","Brometalia rubenti-tectorum","Chenopodietea","Echio-Galactition tomentosae"
"84","R-P27082","Coleostepho myconis-Galactitetum tomentosae","V332",20,1985,-8.927698183,42.76504137,"4 - UTM10x10 + Centroid",100,"Echio-Galactition tomentosae","Brometalia rubenti-tectorum","Chenopodietea","Echio-Galactition tomentosae"
"85","R-P27084","Coleostepho myconis-Galactitetum tomentosae","V332",4,1985,-8.939600765,42.85817381,"4 - UTM10x10 + Centroid",281,"Echio-Galactition tomentosae","Brometalia rubenti-tectorum","Chenopodietea","Echio-Galactition tomentosae"
"86","R-P27085","Coleostepho myconis-Galactitetum tomentosae","V332",25,1985,-8.939600765,42.85817381,"4 - UTM10x10 + Centroid",281,"Echio-Galactition tomentosae","Brometalia rubenti-tectorum","Chenopodietea","Echio-Galactition tomentosae"
