Percentage synoptic table with fidelity {Phi coeff. C } (26 columns),,,,,,,,,,,,,,,,,,,,,,,,,,
Semisupervised,Aegopodion podagrariae,Allion triquetri,Arction lappae,Balloto-Conion maculati,Bidention tripartitae,Carduo carpetani-Cirsion odontolepidis,Cirsion richterano-chodati,Cymbalario-Asplenion,Cynancho-Convolvulion sepium,Dauco-Melilotion,Echio-Galactition tomentosae,Epilobion angustifolii,Galio valantiae-Parietarion judaicae,Geo urbani-Alliarion officinalis,Geranio pusilli-Anthriscion caucalidis,Linario polygalifoliae-Vulpion alopecuri,Oxalidion europeae,Paspalo-Agrostion semiverticillati,Polycarpion tetraphylli,Polygono-Coronopodion,Saginion procumbentis,Scleranthion annui,Senecionion fluviatilis,Sisymbrion officinalis,Spergulo arvensis-Erodion cicutariae,Noise
Genista florida,  ---,  ---,4.1,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,37.2,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---
Neoschischkinia truncatula,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,34.7,  ---,  ---,  ---,  ---,  ---,  ---,0.9,  ---,  ---,1.8,  ---,  ---,  ---,0.5
Galium verum,  ---,  ---,7.7,  ---,  ---,5.6,18.4,  ---,  ---,  ---,  ---,34.2,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---
Scabiosa columbaria,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,4.4,4.7,  ---,34,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---
Potentilla sterilis,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,31.6,13.1,0.4,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---
Solidago virgaurea,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,15.7,  ---,  ---,31.4,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---
Scrophularia alpestris,  ---,  ---,17.8,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,31,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---
Centranthus ruber,  ---,  ---,  ---,  ---,  ---,  ---,  ---,27.7,  ---,  ---,  ---,  ---,55.5,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---
Hypericum hircinum,  ---,  ---,  ---,  ---,  ---,  ---,  ---,5.5,  ---,  ---,  ---,  ---,38.8,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---
Asplenium adiantum-nigrum aggr.,  ---,  ---,  ---,  ---,  ---,  ---,  ---,23.2,  ---,  ---,  ---,  ---,33.3,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---
Erigeron karvinskianus,  ---,5.8,  ---,  ---,  ---,  ---,  ---,1.8,  ---,  ---,  ---,  ---,30.5,  ---,  ---,  ---,  ---,  ---,0.8,  ---,  ---,  ---,  ---,  ---,  ---,0.4
Geranium lucidum,18.7,9.9,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,11.8,67.8,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---
Anthriscus caucalis,  ---,  ---,  ---,  ---,  ---,3.3,  ---,  ---,  ---,  ---,  ---,  ---,  ---,0.4,56.3,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,1.5,  ---,  ---
Galium spurium,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,36.6,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---
Vulpia alopecuros,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,83.7,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---
Malcolmia littorea,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,78.5,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---
Crucianella maritima,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,78.5,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---
Artemisia campestris aggr.,  ---,  ---,  ---,  ---,  ---,0.2,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,76.7,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---
Ammophila arenaria aggr.,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,75.7,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---
Helichrysum italicum,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,75.7,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---
Leontodon tingitanus,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,72.9,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---
Corynephorus canescens,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,63.8,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---
Linaria polygalifolia,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,63.8,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---
Jasione montana,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,22,  ---,  ---,  ---,61.1,  ---,  ---,  ---,  ---,  ---,5.9,  ---,  ---,  ---,  ---
Scrophularia canina aggr.,  ---,  ---,  ---,  ---,  ---,1.4,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,60.6,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---
Seseli tortuosum,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,60.5,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---
Carex arenaria,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,57,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---
Cistus salviifolius,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,57,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---
Festuca juncifolia,  ---,  ---,  ---,  ---,  ---,  ---,  ---,0.6,  ---,  ---,  ---,  ---,  ---,  ---,  ---,55.5,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---
Eryngium maritimum,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,53.3,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---
Pinus pinaster,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,53.3,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---
Lagurus ovatus,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,52.6,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---
Corema album,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,49.3,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---
Filago pygmaea aggr.,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,49.3,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---
Anagallis monelli,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,49,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---
Euphorbia portlandica,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,49,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---
Calystegia soldanella,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,49,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---
Daphne gnidium,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,44.9,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---
Pancratium maritimum,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,44.9,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---
Silene portensis,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,44.9,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---
Achillea maritima,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,44.9,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---
Herniaria ciliolata,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,44.7,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---
Tuberaria guttata,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,43.9,  ---,  ---,6.9,  ---,  ---,  ---,  ---,  ---,  ---,  ---
Cerastium diffusum,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,43.3,  ---,  ---,  ---,  ---,  ---,0.8,  ---,  ---,  ---,  ---
Sedum arenarium,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,41.9,  ---,  ---,  ---,  ---,  ---,8.6,  ---,  ---,  ---,  ---
Iberis procumbens,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,40.2,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---
Armeria pungens,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,40.2,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---
Medicago marina,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,40.2,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---
Trifolium scabrum,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,39.9,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---
Briza media,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,39,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---
Sedum acre,  ---,  ---,16.3,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,36.3,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---
Leontodon saxatilis aggr.,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,9.1,2.2,  ---,  ---,  ---,  ---,35.7,  ---,  ---,0.8,  ---,2.4,0.4,  ---,  ---,  ---,1.5
Euphorbia paralias,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,34.8,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---
Silene littorea,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,34.8,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---
Scirpoides holoschoenus,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,34.1,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---
Medicago littoralis,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,32.9,  ---,  ---,  ---,  ---,  ---,  ---,  ---,2.2,  ---,  ---
Veronica persica,  ---,  ---,  ---,  ---,0.6,  ---,  ---,  ---,  ---,  ---,5.6,  ---,  ---,  ---,  ---,  ---,56,  ---,  ---,  ---,  ---,2.2,  ---,  ---,10.6,2.4
Senecio vulgaris,  ---,0.2,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,4.2,  ---,  ---,  ---,  ---,  ---,46.4,  ---,  ---,  ---,  ---,17.8,  ---,0.4,13.6,2.8
Stellaria media,1.2,6.9,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,4.6,  ---,  ---,0.5,10,  ---,44.1,  ---,  ---,  ---,  ---,14.6,  ---,  ---,23,  ---
Cardamine hirsuta,  ---,0.2,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,0.4,  ---,15.1,  ---,43.6,  ---,3,  ---,  ---,1.2,  ---,  ---,  ---,  ---
Euphorbia helioscopia,  ---,1.3,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,42,  ---,  ---,  ---,  ---,7.2,  ---,0.1,9.9,2.2
Veronica hederifolia,5.7,  ---,0.7,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,37,  ---,  ---,  ---,  ---,9.9,  ---,  ---,  ---,1
Fumaria capreolata,  ---,7.8,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,35.3,  ---,  ---,  ---,  ---,  ---,  ---,0.3,0.2,  ---
Lamium amplexicaule,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,33.2,  ---,  ---,  ---,  ---,9.3,  ---,0.2,6.7,2.6
Lamium purpureum aggr.,3,2.2,  ---,0.2,  ---,  ---,  ---,  ---,  ---,  ---,1.7,  ---,  ---,0.3,  ---,  ---,32.2,  ---,  ---,  ---,  ---,3.1,11,  ---,  ---,  ---
Cerastium glomeratum,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,28.5,  ---,  ---,  ---,0.5,  ---,31.5,  ---,0.9,  ---,  ---,21.5,  ---,  ---,  ---,0.6
Paspalum distichum,  ---,  ---,  ---,  ---,26.2,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,81.3,  ---,  ---,  ---,  ---,  ---,  ---,0.1,  ---
Schoenoplectus lacustris,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,69.9,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---
Cyperus longus,  ---,  ---,  ---,  ---,12.9,  ---,  ---,  ---,  ---,  ---,5.6,  ---,  ---,  ---,  ---,  ---,  ---,64.9,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---
Eleocharis palustris,  ---,  ---,  ---,  ---,1.5,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,53.2,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---
Xanthium strumarium,  ---,  ---,  ---,  ---,18,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,49.8,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---
Juncus articulatus,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,49,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---
Bidens tripartitus,  ---,  ---,  ---,  ---,26.8,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,48.4,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---
Persicaria decipiens,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,42.6,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---
Rorippa sylvestris,  ---,  ---,  ---,  ---,12.8,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,41.9,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---
Alisma lanceolatum,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,34.4,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---
Stachys palustris,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,0.3,  ---,  ---,  ---,33.9,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---
Sagina apetala,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,52,1.8,26.5,  ---,  ---,  ---,  ---,  ---
Spergularia marina,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,51.2,  ---,  ---,  ---,  ---,  ---,  ---,  ---
Crassula tillaea,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,50.6,  ---,1.9,  ---,  ---,  ---,  ---,  ---
Sagina maritima,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,43,  ---,  ---,  ---,  ---,  ---,  ---,  ---
Plantago coronopus,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,0.5,  ---,  ---,  ---,  ---,24.2,  ---,  ---,40.4,10.6,  ---,  ---,  ---,  ---,  ---,2.2
Matricaria suaveolens,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,0.8,71.1,2.3,  ---,  ---,  ---,  ---,  ---
Polygonum aviculare,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,1.1,3.4,4.7,51.2,27.8,  ---,  ---,6.8,8.7,2.6
Plantago major,  ---,  ---,  ---,  ---,16.4,  ---,  ---,  ---,  ---,4.7,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,6,30,29.1,  ---,  ---,4.1,  ---,1.8
Bryum argenteum,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,84.7,  ---,  ---,  ---,  ---,  ---
Sagina procumbens,  ---,  ---,  ---,  ---,  ---,  ---,  ---,4.9,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,82.2,  ---,  ---,  ---,  ---,  ---
Mibora minima,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,13.4,  ---,  ---,  ---,  ---,59.3,  ---,  ---,  ---,  ---
Scleranthus annuus,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,49,  ---,  ---,  ---,  ---
Spergula arvensis,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,3.5,  ---,  ---,  ---,  ---,  ---,11.8,  ---,  ---,  ---,  ---,47.5,  ---,  ---,18.5,0.1
Arnoseris minima,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,4.8,  ---,  ---,  ---,  ---,  ---,47.4,  ---,  ---,  ---,0.6
Rumex acetosella,  ---,  ---,6.1,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,4.4,  ---,  ---,  ---,  ---,5.7,  ---,  ---,  ---,  ---,46.7,  ---,  ---,9.7,  ---
Anthemis arvensis,  ---,  ---,2.2,  ---,  ---,  ---,  ---,  ---,  ---,  ---,7.7,  ---,  ---,  ---,  ---,  ---,6.4,  ---,  ---,  ---,  ---,46.5,  ---,5.8,5.5,4.4
Raphanus raphanistrum aggr.,  ---,1.6,  ---,  ---,  ---,  ---,  ---,  ---,  ---,3.4,6.1,  ---,  ---,  ---,  ---,  ---,8.5,  ---,  ---,  ---,  ---,44.9,  ---,  ---,19.3,1.3
Anthoxanthum ovatum,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,44.3,  ---,  ---,  ---,4.3
Linaria elegans,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,39.6,  ---,  ---,  ---,  ---
Glebionis segetum,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,0.2,  ---,  ---,  ---,  ---,  ---,3.4,  ---,  ---,  ---,  ---,38.4,  ---,  ---,17.8,0.7
Stachys arvensis,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,1.9,  ---,  ---,  ---,  ---,  ---,22.9,  ---,  ---,  ---,  ---,33.3,  ---,  ---,16.1,1.4
Myosotis discolor,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,3.6,  ---,5.3,  ---,  ---,  ---,  ---,33,  ---,  ---,  ---,0.5
Hypochaeris glabra,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,1.8,  ---,3.8,  ---,  ---,32.8,  ---,  ---,  ---,0.6
Ornithopus compressus,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,27.3,  ---,  ---,  ---,  ---,  ---,1.4,  ---,  ---,  ---,  ---,32.2,  ---,  ---,0.6,  ---
Arundo donax,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,99.9,  ---,  ---,  ---
Silene latifolia,  ---,12,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,2.5,  ---,  ---,  ---,  ---,  ---,  ---,  ---,78.5,  ---,  ---,  ---
Pteridium aquilinum,  ---,8.4,  ---,0.3,  ---,  ---,  ---,  ---,22,  ---,6.5,  ---,  ---,1.1,0.3,  ---,  ---,  ---,  ---,  ---,  ---,  ---,52.5,  ---,  ---,  ---
Phytolacca americana,  ---,12.6,  ---,  ---,0.2,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,45.3,  ---,  ---,  ---
Calystegia sepium,  ---,  ---,  ---,10.7,20.2,  ---,  ---,  ---,15.6,13.7,7,  ---,  ---,0.3,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,40,  ---,  ---,  ---
Pentaglottis sempervirens,7,4.8,4.8,5,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,27.4,4,  ---,  ---,  ---,  ---,  ---,  ---,  ---,37.8,  ---,  ---,  ---
Brachypodium pinnatum aggr.,  ---,  ---,1.5,2.2,  ---,  ---,  ---,  ---,21.4,  ---,1.4,  ---,2.8,0,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,31.9,  ---,  ---,0.5
Oxalis corniculata,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,16.7,  ---,5.3,  ---,  ---,  ---,2.3,  ---,  ---,  ---,  ---,  ---,31.4,  ---,5,1.7
Ceratocapnos claviculata,  ---,6.9,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,30.4,  ---,  ---,  ---
Hordeum murinum,  ---,  ---,  ---,4.8,  ---,18.9,  ---,  ---,  ---,  ---,14.8,  ---,  ---,  ---,3.9,  ---,  ---,  ---,  ---,3.1,  ---,  ---,  ---,57,  ---,1.8
Sisymbrium officinale,5,  ---,  ---,2,  ---,6.2,  ---,  ---,  ---,  ---,9.2,  ---,  ---,0.9,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,56.3,  ---,1.1
Lolium perenne,5.4,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,4.4,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,4.2,27,3.4,  ---,  ---,33.4,  ---,2.7
Digitaria sanguinalis,  ---,  ---,  ---,  ---,18.8,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,61.5,0.4
Chenopodium album,  ---,  ---,  ---,  ---,4.6,5.2,  ---,  ---,  ---,1.8,  ---,  ---,  ---,  ---,  ---,  ---,9.7,  ---,  ---,  ---,  ---,  ---,  ---,4.5,60.2,2.4
Amaranthus hybridus aggr.,  ---,  ---,  ---,  ---,3.2,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,59.7,  ---
Solanum nigrum,  ---,  ---,  ---,  ---,7,  ---,  ---,  ---,  ---,5.5,  ---,  ---,  ---,  ---,  ---,  ---,6.5,2.5,  ---,  ---,  ---,  ---,  ---,  ---,46.1,0.2
Portulaca oleracea,  ---,  ---,  ---,  ---,5.2,  ---,  ---,  ---,  ---,0.4,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,42,0.7
Persicaria maculosa,  ---,  ---,  ---,  ---,15.7,  ---,  ---,  ---,  ---,1.1,  ---,  ---,  ---,  ---,  ---,  ---,4.3,23.9,  ---,  ---,  ---,4.2,7.5,  ---,41.9,  ---
Oxalis latifolia,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,  ---,3.4,  ---,  ---,  ---,  ---,0.6,  ---,1.2,41.2,1.5
