"SIVIMID","CANTEUNIS","ESEUNIS","Sintaxon","Twinspan","Semisupervised","Order","Class","Area","Year","Longitude","Latitude","Accuracy","Elevation","Aspect","Slope"
"NEW-OMAR-PA97","V38Z",NA,"Picridi echioides-Melilotetum albi","Dauco-Melilotion","Dauco-Melilotion","Onopordetalia acanthii","Artemisietea vulgaris",40,1981,-5.654043577,43.23651311,"500",360,"S",0
"U-P00596","V38Z","V38","Comunidad de Daucus carota y Melilotus alba","Balloto-Conion maculati","Dauco-Melilotion","Onopordetalia acanthii","Artemisietea vulgaris",30,2002,-5.09336753,42.92903805,"1 - UTM1x1 + Elevation",1050,"",NA
"S-P12124","V38Z","V38","Galactito tomentosae-Digitaletum purpureae","Balloto-Conion maculati","Dauco-Melilotion","Onopordetalia acanthii","Artemisietea vulgaris",20,1975,-6.945734907,43.57159262,"3 - UTM10x10 + Elevation",15,"N",15
"T-P11942","V38Z","R22","Helmintio echioidis-Melilotetum albae","Dauco-Melilotion","Dauco-Melilotion","Onopordetalia acanthii","Artemisietea vulgaris",20,1988,-2.317221109,43.08662466,"3 - UTM10x10 + Elevation",360,"",NA
"U-P00595","V38Z","V38","Comunidad de Daucus carota y Melilotus alba","Balloto-Conion maculati","Dauco-Melilotion","Onopordetalia acanthii","Artemisietea vulgaris",5,2002,-5.142618143,42.86509295,"1 - UTM1x1 + Elevation",980,"",NA
"R-P12749","V38Z","V33","Helmintio echioidis-Melilotetum albae","Dauco-Melilotion","Dauco-Melilotion","Onopordetalia acanthii","Artemisietea vulgaris",70,1997,-3.144630223,42.79502702,"4 - UTM10x10 + Centroid",520,"",NA
"T-P11944","V38Z","V38","Helmintio echioidis-Melilotetum albae","Dauco-Melilotion","Dauco-Melilotion","Onopordetalia acanthii","Artemisietea vulgaris",30,1988,-2.477022668,43.07666064,"3 - UTM10x10 + Elevation",230,"",NA
"R-P07584","V38Z","H25","Polygono-Chenopodion polyspermi","Oxalidion europeae","Dauco-Melilotion","Onopordetalia acanthii","Artemisietea vulgaris",1,1949,-2.568802595,43.12655443,"4 - UTM10x10 + Centroid",304,"",NA
"R-P07586","V38Z","R","Polygono-Chenopodion polyspermi","Oxalidion europeae","Dauco-Melilotion","Onopordetalia acanthii","Artemisietea vulgaris",1,1949,-2.568802595,43.12655443,"4 - UTM10x10 + Centroid",304,"",NA
"R-P07585","V38Z","V","Polygono-Chenopodion polyspermi","Oxalidion europeae","Dauco-Melilotion","Onopordetalia acanthii","Artemisietea vulgaris",1,1949,-2.568802595,43.12655443,"4 - UTM10x10 + Centroid",304,"",NA
"S-P20425","V38Z","V37","Galactito tomentosae-Digitaletum purpureae","Echio-Galactition tomentosae","Dauco-Melilotion","Onopordetalia acanthii","Artemisietea vulgaris",7,1972,-8.681501241,42.40189058,"3 - UTM10x10 + Elevation",2,"W",NA
"Xixon23","V38Z",NA,"N4C",NA,"Dauco-Melilotion","Onopordetalia acanthii","Artemisietea vulgaris",16,2023,-5.7161683,43.5225483,"1",NA,"-",0
"R-P27080",NA,"V33","Coleostepho myconis-Galactitetum tomentosae","Echio-Galactition tomentosae","Echio-Galactition tomentosae","Brometalia rubenti-tectorum","Chenopodietea",20,1985,-8.084451059,43.65436324,"3 - UTM10x10 + Elevation",5,"NW",NA
"R-P27086",NA,"V32","Coleostepho myconis-Galactitetum tomentosae","Sisymbrion officinalis","Echio-Galactition tomentosae","Brometalia rubenti-tectorum","Chenopodietea",30,1985,-9.076223063,42.78970726,"4 - UTM10x10 + Centroid",103.5,"SE",NA
