"","SIVIMID","Original","CANTEUNIS","Area","Year","Longitude","Latitude","Accuracy","Elevation","Alliance","Order","Class","L1"
"87","R-P28987","Matricario-Polygonetum arenastrii","V34Z",1,2014,-3.595207484,43.11232738,"2 - UTM1x1 + Centroid",820,"Polygono-Coronopodion","Polygono arenastri-Poetalia annuae","Polygono-Poetea annuae","Polygono-Coronopodion"
"88","R-P28988","Matricario-Polygonetum arenastrii","V34Z",2,2014,-3.553095549,43.07651904,"1 - UTM1x1 + Elevation",770,"Polygono-Coronopodion","Polygono arenastri-Poetalia annuae","Polygono-Poetea annuae","Polygono-Coronopodion"
"89","R-P28989","Matricario-Polygonetum arenastrii","V34Z",1,2014,-3.641215612,43.04544235,"1 - UTM1x1 + Elevation",730,"Polygono-Coronopodion","Polygono arenastri-Poetalia annuae","Polygono-Poetea annuae","Polygono-Coronopodion"
"90","R-P28990","Matricario-Polygonetum arenastrii","V34Z",1,2014,-3.624155646,43.05814363,"1 - UTM1x1 + Elevation",700,"Polygono-Coronopodion","Polygono arenastri-Poetalia annuae","Polygono-Poetea annuae","Polygono-Coronopodion"
"91","R-P28991","Matricario-Polygonetum arenastrii","V34Z",1,2014,-3.680561396,43.05061812,"1 - UTM1x1 + Elevation",750,"Polygono-Coronopodion","Polygono arenastri-Poetalia annuae","Polygono-Poetea annuae","Polygono-Coronopodion"
"92","R-P28992","Matricario-Polygonetum arenastrii","V34Z",2,2014,-3.560449147,43.07468227,"1 - UTM1x1 + Elevation",780,"Polygono-Coronopodion","Polygono arenastri-Poetalia annuae","Polygono-Poetea annuae","Polygono-Coronopodion"
"93","S-P11162","Polygono-Matricarietum matricarioidis","V34Z",8,1989,-4.485245849,43.01778955,"1 - UTM1x1 + Elevation",1200,"Polygono-Coronopodion","Polygono arenastri-Poetalia annuae","Polygono-Poetea annuae","Polygono-Coronopodion"
"94","S-P11163","Polygono-Matricarietum matricarioidis","V34Z",4,1989,-4.452627041,42.9875917,"2 - UTM1x1 + Centroid",1170,"Polygono-Coronopodion","Polygono arenastri-Poetalia annuae","Polygono-Poetea annuae","Polygono-Coronopodion"
"95","S-P11164","Polygono-Matricarietum matricarioidis","V34Z",4,1989,-4.48897882,42.96911467,"2 - UTM1x1 + Centroid",1070,"Polygono-Coronopodion","Polygono arenastri-Poetalia annuae","Polygono-Poetea annuae","Polygono-Coronopodion"
"96","S-P11165","Polygono-Matricarietum matricarioidis","V34Z",6,1989,-4.486527139,42.96914654,"1 - UTM1x1 + Elevation",1140,"Polygono-Coronopodion","Polygono arenastri-Poetalia annuae","Polygono-Poetea annuae","Polygono-Coronopodion"
"97","S-P11166","Polygono-Matricarietum matricarioidis","V34Z",6,1989,-4.451187555,42.92637632,"1 - UTM1x1 + Elevation",1130,"Polygono-Coronopodion","Polygono arenastri-Poetalia annuae","Polygono-Poetea annuae","Polygono-Coronopodion"
"98","S-P11167","Polygono-Matricarietum matricarioidis","V34Z",6,1989,-4.489326444,42.983518,"1 - UTM1x1 + Elevation",1180,"Polygono-Coronopodion","Polygono arenastri-Poetalia annuae","Polygono-Poetea annuae","Polygono-Coronopodion"
"99","S-P11168","Polygono-Matricarietum matricarioidis","V34Z",6,1989,-4.427061297,42.94288865,"2 - UTM1x1 + Centroid",1080,"Polygono-Coronopodion","Polygono arenastri-Poetalia annuae","Polygono-Poetea annuae","Polygono-Coronopodion"
"100","S-P11169","Polygono-Matricarietum matricarioidis","V34Z",4,1989,-4.483037543,42.92596805,"1 - UTM1x1 + Elevation",1140,"Polygono-Coronopodion","Polygono arenastri-Poetalia annuae","Polygono-Poetea annuae","Polygono-Coronopodion"
"101","S-P11170","Polygono-Matricarietum matricarioidis","V34Z",3,1989,-4.448737528,42.92640735,"1 - UTM1x1 + Elevation",1130,"Polygono-Coronopodion","Polygono arenastri-Poetalia annuae","Polygono-Poetea annuae","Polygono-Coronopodion"
"102","S-P15177","Polycarpion tetraphylli","V35Z",4,1967,-8.577150315,42.04626052,"4 - UTM10x10 + Centroid",73,"Polycarpion tetraphylli","Polygono arenastri-Poetalia annuae","Polygono-Poetea annuae","Polycarpion tetraphylli"
"103","S-P17973","Bryo argentei-Saginetum procumbentis","V35Z",2,1982,-2.640431574,43.28079915,"1 - UTM1x1 + Elevation",250,"Saginion procumbentis","Polygono arenastri-Poetalia annuae","Polygono-Poetea annuae","Saginion procumbentis"
"104","S-P17974","Bryo argentei-Saginetum procumbentis","V35Z",2,1982,-2.640431574,43.28079915,"1 - UTM1x1 + Elevation",250,"Saginion procumbentis","Polygono arenastri-Poetalia annuae","Polygono-Poetea annuae","Saginion procumbentis"
"105","S-P17975","Bryo argentei-Saginetum procumbentis","V35Z",2,1982,-2.589863612,43.10233451,"1 - UTM1x1 + Elevation",350,"Saginion procumbentis","Polygono arenastri-Poetalia annuae","Polygono-Poetea annuae","Saginion procumbentis"
"106","S-P17976","Bryo argentei-Saginetum procumbentis","V35Z",2,1982,-2.587417949,43.10052473,"1 - UTM1x1 + Elevation",350,"Saginion procumbentis","Polygono arenastri-Poetalia annuae","Polygono-Poetea annuae","Saginion procumbentis"
"107","S-P17977","Bryo argentei-Saginetum procumbentis","V35Z",2,1982,-2.623875168,43.16728638,"2 - UTM1x1 + Centroid",180,"Saginion procumbentis","Polygono arenastri-Poetalia annuae","Polygono-Poetea annuae","Saginion procumbentis"
